"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"169","thistle1",TRUE,0.00130759100522724,11333,242,193,0.797520661157025,0.0170299126444895,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"170","thistle1",TRUE,0.0145787741640877,6463,242,122,0.504132231404959,0.0188766826551137,"GO:0005634","GO:CC","nucleus",16963,310,"GO:0043231",NA
"171","thistle1",TRUE,0.0476996918685195,797,242,25,0.103305785123967,0.0313676286072773,"GO:0005730","GO:CC","nucleolus",16963,395,"c(""GO:0031981"", ""GO:0043232"")",NA
"172","thistle2",TRUE,0.00433391684732944,12994,261,227,0.869731800766284,0.0174696013544713,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"173","thistle2",TRUE,0.0303264575992086,9937,261,182,0.697318007662835,0.0183153869377076,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"174","thistle2",TRUE,0.0465541296698673,93,261,8,0.0306513409961686,0.0860215053763441,"GO:0090079","GO:MF","translation regulator activity, nucleic acid binding",16268,10282,"c(""GO:0003676"", ""GO:0045182"")",NA
"175","turquoise",TRUE,0.000575677145790439,3932,81,38,0.469135802469136,0.00966429298067141,"GO:0005654","GO:CC","nucleoplasm",16963,327,"c(""GO:0031981"", ""GO:0110165"")",NA
"176","turquoise",TRUE,0.0129730508058835,4639,81,39,0.481481481481481,0.00840698426384997,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"177","turquoise",TRUE,0.040271457866841,18,78,3,0.0384615384615385,0.166666666666667,"GO:0010485","GO:MF","H4 histone acetyltransferase activity",16268,2844,"GO:0004402",NA
"178","turquoise",TRUE,0.0474402887901128,96,78,5,0.0641025641025641,0.0520833333333333,"GO:0016407","GO:MF","acetyltransferase activity",16268,3542,"GO:0016747",NA
"179","violet",TRUE,0.000116741091842487,4850,278,118,0.424460431654676,0.0243298969072165,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"180","violet",TRUE,0.00041145984260313,12994,278,244,0.877697841726619,0.0187778974911498,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"181","violet",TRUE,0.0281157968889471,9937,278,193,0.694244604316547,0.0194223608735031,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"182","violet",TRUE,0.0321250635580498,554,278,22,0.079136690647482,0.0397111913357401,"GO:0005813","GO:CC","centrosome",16963,472,"GO:0005815",NA
"183","violet",TRUE,0.034917344052346,14,283,4,0.0141342756183746,0.285714285714286,"GO:0005545","GO:MF","1-phosphatidylinositol binding",16268,1923,"GO:0035091",NA
"184","white",TRUE,0.0196042035403587,89,107,7,0.0654205607476635,0.0786516853932584,"KEGG:05235","KEGG","PD-L1 expression and PD-1 checkpoint pathway in cancer",7747,450,"KEGG:00000",NA
"185","yellow",TRUE,0.00824697300352097,12994,295,254,0.861016949152542,0.0195474834539018,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"186","yellow",TRUE,0.0124627360100324,12231,295,242,0.820338983050847,0.0197857902052163,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"187","yellow",TRUE,0.0428707394655675,11093,295,222,0.752542372881356,0.0200126205715316,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
