"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.0496130048325252,2,138,2,0.0144927536231884,1,"GO:0071837","GO:MF","HMG box domain binding",16268,10103,"GO:0019904",NA
"2","antiquewhite4",TRUE,0.0338843866999092,37,75,4,0.0533333333333333,0.108108108108108,"KEGG:05340","KEGG","Primary immunodeficiency",7747,458,"KEGG:00000",NA
"3","bisque4",TRUE,0.0191514010223584,11333,118,98,0.830508474576271,0.0086473131562693,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"4","bisque4",TRUE,0.020226297018494,12231,118,103,0.872881355932203,0.0084212247567656,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"5","bisque4",TRUE,0.0324137376405451,11093,118,96,0.813559322033898,0.00865410619309475,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"6","bisque4",TRUE,0.0213504394011121,2,114,2,0.0175438596491228,1,"GO:0002094","GO:MF","polyprenyltransferase activity",16268,384,"GO:0004659",NA
"7","brown",TRUE,0.0203434586330664,148,274,12,0.0437956204379562,0.0810810810810811,"GO:0001505","GO:BP","regulation of neurotransmitter levels",15979,441,"GO:0065008",NA
"8","brown",TRUE,0.0219787378160174,30,274,6,0.0218978102189781,0.2,"GO:0014047","GO:BP","glutamate secretion",15979,5206,"c(""GO:0006835"", ""GO:0015800"", ""GO:0032940"")",NA
"9","brown",TRUE,0.0222535212313394,62,274,8,0.0291970802919708,0.129032258064516,"GO:0016079","GO:BP","synaptic vesicle exocytosis",15979,5726,"c(""GO:0007269"", ""GO:0045055"", ""GO:0051649"", ""GO:0099003"", ""GO:0099504"", ""GO:0099643"")",NA
"10","brown",TRUE,0.0358340145297314,108,274,10,0.0364963503649635,0.0925925925925926,"GO:0007269","GO:BP","neurotransmitter secretion",15979,3195,"c(""GO:0001505"", ""GO:0006836"", ""GO:0007268"", ""GO:0051649"", ""GO:0099643"")",NA
"11","brown",TRUE,0.0358340145297314,108,274,10,0.0364963503649635,0.0925925925925926,"GO:0099643","GO:BP","signal release from synapse",15979,22752,"c(""GO:0023061"", ""GO:0099536"")",NA
