"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"138","lightgreen",TRUE,0.0225537046580731,3,74,2,0.027027027027027,0.666666666666667,"KEGG:00780","KEGG","Biotin metabolism",7747,123,"KEGG:00000",NA
"139","lightpink4",TRUE,0.0421959836281413,2560,149,44,0.295302013422819,0.0171875,"GO:0033036","GO:BP","macromolecule localization",15979,9271,"GO:0051179",NA
"140","lightpink4",TRUE,0.00350401649417967,12994,159,143,0.89937106918239,0.0110050792673542,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"141","lightpink4",TRUE,0.0259807741210633,4850,159,68,0.427672955974843,0.014020618556701,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"142","lightpink4",TRUE,0.0437660785186246,29,159,4,0.0251572327044025,0.137931034482759,"GO:0005942","GO:CC","phosphatidylinositol 3-kinase complex",16963,581,"c(""GO:0019898"", ""GO:0061695"", ""GO:0098796"")",NA
"143","lightpink4",TRUE,0.0437660785186246,29,159,4,0.0251572327044025,0.137931034482759,"GO:0000314","GO:CC","organellar small ribosomal subunit",16963,64,"c(""GO:0000313"", ""GO:0015935"")",NA
"144","lightpink4",TRUE,0.0437660785186246,29,159,4,0.0251572327044025,0.137931034482759,"GO:0005763","GO:CC","mitochondrial small ribosomal subunit",16963,425,"c(""GO:0000314"", ""GO:0005761"", ""GO:0098798"")",NA
"145","lightpink4",TRUE,0.00704563985771847,100,82,7,0.0853658536585366,0.07,"KEGG:04933","KEGG","AGE-RAGE signaling pathway in diabetic complications",7747,365,"KEGG:00000",NA
"146","lightpink4",TRUE,0.00742205950376947,136,82,8,0.0975609756097561,0.0588235294117647,"KEGG:04910","KEGG","Insulin signaling pathway",7747,342,"KEGG:00000",NA
"147","lightpink4",TRUE,0.0114670740082423,108,82,7,0.0853658536585366,0.0648148148148148,"KEGG:04931","KEGG","Insulin resistance",7747,363,"KEGG:00000",NA
"148","lightpink4",TRUE,0.0119796026498882,76,82,6,0.0731707317073171,0.0789473684210526,"KEGG:05212","KEGG","Pancreatic cancer",7747,433,"KEGG:00000",NA
"149","lightpink4",TRUE,0.0199188346364703,118,82,7,0.0853658536585366,0.0593220338983051,"KEGG:04935","KEGG","Growth hormone synthesis, secretion and action",7747,367,"KEGG:00000",NA
"150","lightpink4",TRUE,0.0285484728167248,89,82,6,0.0731707317073171,0.0674157303370786,"KEGG:05235","KEGG","PD-L1 expression and PD-1 checkpoint pathway in cancer",7747,450,"KEGG:00000",NA
"151","lightpink4",TRUE,0.0306404460790868,167,82,8,0.0975609756097561,0.0479041916167665,"KEGG:05164","KEGG","Influenza A",7747,418,"KEGG:00000",NA
"152","lightpink4",TRUE,0.0344067327022125,60,82,5,0.0609756097560976,0.0833333333333333,"KEGG:04213","KEGG","Longevity regulating pathway - multiple species",7747,267,"KEGG:00000",NA
"153","lightpink4",TRUE,0.0453944360367051,97,82,6,0.0731707317073171,0.0618556701030928,"KEGG:04914","KEGG","Progesterone-mediated oocyte maturation",7747,346,"KEGG:00000",NA
