"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite2",TRUE,0.00219034710820625,11333,214,172,0.803738317757009,0.0151769169681461,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"2","antiquewhite2",TRUE,0.00244760020411589,9588,214,152,0.710280373831776,0.0158531497705465,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"3","antiquewhite2",TRUE,0.00349122234029263,12231,214,181,0.845794392523365,0.0147984629220832,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"4","antiquewhite2",TRUE,0.00687319964277796,12994,214,188,0.878504672897196,0.0144682160997383,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"5","antiquewhite2",TRUE,0.011174590481549,11093,214,167,0.780373831775701,0.0150545388984044,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"6","antiquewhite2",TRUE,0.0313777335089946,9937,214,152,0.710280373831776,0.0152963671128107,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"7","antiquewhite2",TRUE,0.0289409060064229,102,146,8,0.0547945205479452,0.0784313725490196,"REAC:R-HSA-72689","REAC","Formation of a pool of free 40S subunits",10588,854,"REAC:R-HSA-72737",NA
"8","antiquewhite2",TRUE,0.0452733882468279,171,146,10,0.0684931506849315,0.0584795321637427,"REAC:R-HSA-9010553","REAC","Regulation of expression of SLITs and ROBOs",10588,1795,"REAC:R-HSA-376176",NA
"9","blue",TRUE,0.0433109235304904,129,25,4,0.16,0.0310077519379845,"KEGG:05135","KEGG","Yersinia infection",7747,405,"KEGG:00000",NA
"10","blue",TRUE,0.0309763836939727,23,41,3,0.0731707317073171,0.130434782608696,"REAC:R-HSA-450302","REAC","activated TAK1 mediates p38 MAPK activation",10588,2374,"REAC:R-HSA-450294",NA
